,,a,u,c,n,h,o,s,l,q,r,k,e,z,v,t,x,d,f,w,y,i,b,j,g,m,p
a,f,5.2,1.2,0.2,0.2,0.2,8.2,1.2,2.2,0.2,6.2,0.2,3.2,0.2,0.2,8.2,1.2,1.2,1.2,0.2,0.2,3.2,3.2,1.2,0.2,0.2,0.2
a,w,11.2,0.2,1.2,1.2,5.2,7.2,1.2,0.2,0.2,0.2,2.2,15.2,3.2,0.2,3.2,0.2,0.2,0.2,5.2,0.2,4.2,0.2,0.2,1.2,1.2,1.2
a,y,22.2,1.2,2.2,9.2,7.2,6.2,45.2,6.2,0.2,0.2,0.2,7.2,1.2,1.2,20.2,1.2,1.2,7.2,11.2,4.2,24.2,8.2,7.2,6.2,10.2,11.2
a,i,29.2,0.2,3.2,95.2,3.2,0.2,8.2,18.2,0.2,7.2,0.2,0.2,3.2,0.2,19.2,1.2,6.2,2.2,0.2,0.2,2.2,2.2,1.2,7.2,6.2,0.2
a,b,8.2,1.2,4.2,0.2,1.2,17.2,4.2,11.2,0.2,15.2,0.2,27.2,1.2,0.2,2.2,0.2,0.2,0.2,0.2,11.2,18.2,1.2,0.2,0.2,2.2,0.2
a,j,30.2,1.2,1.2,0.2,0.2,6.2,0.2,1.2,1.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2
a,g,26.2,6.2,0.2,1.2,2.2,18.2,0.2,4.2,0.2,6.2,0.2,16.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,13.2,0.2,1.2,0.2,1.2,1.2
a,m,32.2,3.2,5.2,2.2,5.2,13.2,11.2,3.2,0.2,3.2,2.2,43.2,0.2,2.2,4.2,0.2,2.2,2.2,3.2,1.2,30.2,4.2,0.2,2.2,4.2,31.2
a,p,16.2,4.2,1.2,0.2,12.2,4.2,1.2,8.2,0.2,14.2,0.2,6.2,0.2,1.2,4.2,0.2,3.2,0.2,0.2,1.2,1.2,0.2,0.2,1.2,2.2,49.2
u,a,0.2,0.2,0.2,6.2,1.2,0.2,1.2,16.2,0.2,21.2,1.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,2.2,1.2,0.2,0.2,0.2,2.2,0.2,0.2
u,u,0.2,13.2,1.2,2.2,0.2,0.2,0.2,1.2,0.2,2.2,0.2,0.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,0.2,1.2
u,c,17.2,1.2,2.2,0.2,22.2,5.2,0.2,1.2,0.2,1.2,29.2,1.2,0.2,0.2,3.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,2.2,0.2
