,y,k,r,c,d,b,s,o,v,e,g,u,h,l,q,j,t,w,p,m,i,z,n,x,f,a
g,-1.7227834472321057,-1.9977018202446157,-1.8064162328879707,-2.38893729759148,-1.8941090441267492,-3.7983743766815614,-1.9037024704969694,-1.8182302791201117,-2.467944272859419,-1.8699435391387165,-1.967063001872649,-1.4435721177799488,-2.2163258781536843,-2.278791070818855,-1.3674992761954683,-2.0268788278024736,-2.0113656540610685,-2.509034419181374,-2.2746708965553633,-1.9971908779872338,-1.518465730466515,-1.5207967019372874,-0.9097616679781673,-1.5363955108562808,-2.1766512778075593,-1.6287252177170417
u,-2.3142071237142834,-1.5949629286908094,-1.5344244453807987,-1.6473028810335988,-1.8941090441267492,-1.2986872940631575,-1.6157082128092277,-0.8733870469808617,-2.1871176632837246,-2.027002595356625,-1.3909685735811566,-1.8070945616482932,-1.6722578338034084,-1.6821038632547534,-0.5247940492971017,-0.36776748674504794,-1.9227886368717735,-2.0503965701557245,-1.573294822453466,-1.5050924672979185,-2.3211599219276846,-0.9904299352644,-2.0920300861657317,-1.6127838567197355,-1.251372464303551,-1.7578542850736771
h,-1.4058950960675176,-1.5949629286908094,-1.8064162328879707,-1.0134211770882537,-1.52886798115015,-1.4951783192610724,-1.2184906237358228,-1.770457497324111,-2.094363610046826,-1.6600567766753318,-0.9984133055793248,-1.7582459941104762,-1.8427452153410913,-1.914901793174242,-1.460253329432367,-2.0268788278024736,-0.7645819774343877,-0.9235736896728729,-1.5387173259661744,-1.8326814914813676,-2.010145705357102,-1.692192839784589,-1.8019034535120753,-1.1764988559714782,-1.3335592204909013,-1.48221437506655
l,-1.4326568145784493,-1.7027459722928278,-1.5963946902405206,-1.599265624178025,-1.6741734891546733,-1.334481387695654,-1.7822803076115066,-1.2877710326270448,-2.7311857076340003,-1.1266241331889677,-1.401383808509696,-1.1990442066311433,-2.2876817866893524,-0.825823837954228,-1.460253329432367,-1.7790943440917177,-1.956084206265141,-2.2217927080030258,-0.9139933500022684,-2.092674635257258,-1.2423997078877356,-1.0500156252486441,-1.929302788668032,-1.8236372220346286,-1.7089715793207385,-1.0363793701138921
q,-2.390595469577738,-2.349884338355978,-2.7873929955745402,-2.4653256434549347,-2.5309311417139235,-3.0202231262979176,-2.3878855797041187,-2.634038943032381,-2.305216975361719,-2.9176579440972206,-2.300277680908031,-2.351162605998569,-2.7136505189616336,-2.6491475578588037,-2.0043213737826426,-2.0268788278024736,-2.9407845797753613,-2.509034419181374,-2.4160000493518328,-2.8366117851098,-3.0515383905153275,-1.9794345509629367,-2.5620315997624465,-1.7055379099566341,-2.626620286483607,-2.6077913108813986
j,-1.8710703663049881,-1.9977018202446157,-1.6099252076900559,-2.2175411597441785,-1.9186519852042752,-1.4951783192610724,-2.072844869597323,-2.2323387854870367,-2.305216975361719,-2.0361076349613865,-2.007680852780913,-1.9251938737262877,-2.3282996375976164,-2.3159328788234212,-1.5783526415103615,-2.4004594906150665,-2.0862449835282626,-2.100370545117563,-3.052822146939007,-2.6738844876121,-2.2966169808501586,-1.7685811856480436,-2.0412765481119646,-1.8236372220346286,-1.364816914221343,-1.9709692132942245
t,-1.1562339588364139,-1.5086813422252456,-0.9838058321689328,-1.535906717740642,-1.3268111590579987,-2.135616544999987,-0.6259331067515825,-1.2510827157730875,-2.094363610046826,-1.2355419944784987,-1.140063183951188,-0.9826691109679441,-0.7103541503324047,-1.5006398204352112,-1.7410799390080611,-1.1608188085255642,-0.9131214019639473,-1.73088316879773,-0.6265820654033509,-1.8736830964853826,-0.9755354768689446,-1.6272520328515743,-0.9898402657839209,-1.0932587534469858,-1.2431313350107651,-1.053860713781055
w,-1.6124442191940942,-1.6731907287311116,-2.1273410572688913,-2.3239964906584656,-1.7358791407920786,-2.756981691523336,-1.6468761373250418,-1.2433341697884999,-1.217080886661168,-1.6055625222830794,-1.7329797958392807,-2.0879211712239876,-2.2163258781536843,-1.818608238015472,-1.3674992761954683,-2.237732193117367,-1.7314758319105108,-1.4321210345895707,-2.2746708965553633,-1.7444655618978075,-2.0625337748167905,-1.9794345509629367,-1.6615978564142428,-1.6127838567197355,-1.9604427955438957,-1.8226010979524976
p,-1.6882975218927916,-1.9412204642921675,-1.9306353430152903,-2.0949691564149857,-2.0336065009059743,-2.5942543940256364,-1.4440506250221157,-1.6623195045532235,-2.0179752641833715,-1.592115798555833,-1.967063001872649,-1.5345531037957496,-2.423085956975817,-1.8851439585364524,-1.7410799390080611,-2.0268788278024736,-1.0322995608967114,-2.2217927080030258,-1.2734661954169926,-1.264162648391956,-2.076681425878083,-1.692192839784589,-1.8304231827970712,-1.279569177684353,-1.8484690360999634,-1.5085034574605178
m,-1.4514603784011548,-1.471218950695453,-1.6929717829701787,-2.2675151347060174,-1.607637768633693,-2.242071875914274,-1.6874939882333058,-1.1775408854360183,-2.094363610046826,-1.5053871218472556,-1.834437436598058,-1.5630728330807455,-1.93549926857799,-1.8064423309604372,-2.0043213737826426,-2.4004594906150665,-1.780570082818518,-1.3049144365254488,-1.6817542846672706,-1.7776339251504623,-1.275200480895152,-1.435366506612661,-1.582638699086315,-1.5363955108562808,-1.8484690360999634,-1.2855720161474795
